metric_name,model,table_or_figure,coordinate_space,source_script,source_line,git_commit_or_date_if_known
PCK@0.2/AUC/MPJPE/Det.Rate (closest surviving analog, does NOT reproduce the paper number per make_tables.py's own comment),Untrained,three_way_comparison.txt 'Untrained' block,teacher-decoded-space (three_way_student_comparison.py),three_way_comparison.txt,"PCK=0.0047, MPJPE=187.11px, AUC=0.0249, Det=0.00% (500 samples) -- paper's Table V claims Det.Rate=100% for this row, which verify_paper.py flags as almost certainly backwards for a randomly-initialized detection head",produced by three_way_student_comparison.py (2026-06-22 13:20)
PCK@0.2/AUC/MPJPE/Det.Rate,MediaPipe-inspired BlazeHandLandmark (pre-distillation weights) [row label implies the zmurez PyTorch port],tab:pretrain_ref (Table V) / tab:consolidated (Table VIII, 'MP SDK' column),MISLABELED: numbers are actually from the OFFICIAL MediaPipe SDK, not the zmurez BlazeHandLandmark architecture,scripts/make_tables.py,"L77-78 MP_PRETRAIN=dict(pck=Decimal('0.243'),auc=Decimal('0.323'),mpjpe=Decimal('126.95'),det=Decimal('69.4')) -- matches mediapipe_gt_corrected.txt exactly (titled 'MediaPipe SDK - RHD Ground Truth Reference', 500 samples: PCK=0.2426,MPJPE=126.95px,AUC=0.3228,Det=69.40%/347/500)",2026-08-05 16:51 (make_tables.py) / 2026-05-13 19:28 (mediapipe_gt_corrected.txt) -- NO SCRIPT IN CURRENT REPO writes 'mediapipe_gt_corrected.txt' (see results/README.md Step 5 note)
PCK@0.2/AUC/MPJPE/Det.Rate (the TRUE zmurez BlazeHandLandmark + pre-distillation-weights numbers -- NOT used anywhere in the paper),BlazeHandLandmark (zmurez starting weights, student_model/blazehand_landmark.pth),n/a - not referenced by any table,GT-space,mediapipe_vs_blazehand_eval.py,"L54-56 loads student_model/blazehand_landmark.pth (zmurez weights, no distillation); L105 gt_kpts=gt_instances.keypoints[0]; docstring L1-9 explicitly: 'BlazeHandLandmark uses the original pre-trained weights from the zmurez repository ... no distillation applied' -> mediapipe_vs_blazehand_results.txt 'BlazeHand (zmurez)' column, full 2727 samples: PCK=0.3010, AUC=0.3951, MPJPE=104.29px, Det=80.05% (2183/2727) -- dramatically different from the 0.243/0.323/126.95/69.4% the paper reports under a similarly-worded label",2026-05-18 18:09 (script) / 2026-05-18 18:19 (results file)
PCK@0.2/AUC/MPJPE/Det.Rate,MediaPipe SDK (zmurez weights) [README results table row -- CORRECTLY labeled and sourced, contrast with Table V above],README.md results table,GT-space,mediapipe_vs_blazehand_eval.py,"same 'BLZ' column as above; README PCK=30.1%/MPJPE=104.3px/AUC=0.395 matches mediapipe_vs_blazehand_results.txt's BlazeHand(zmurez) column exactly -- this row is provenance-clean",2026-05-18 18:19
zmurez citation (\bibitem{mediapipepytorch2021}),n/a,paper/main.tex bibliography,n/a,paper/main.tex,"L999-1002 \bibitem{mediapipepytorch2021} exists (Murez et al., 'MediaPipePyTorch', GitHub 2021) but grep of the full document finds ZERO \cite{mediapipepytorch2021} occurrences anywhere in the body text -- an orphaned/unused reference, i.e. the in-text citation was indeed cut while the bibliography entry survived",2026-08-05 16:52
PCK@0.2/AUC/MPJPE/MSE (Fig.3 panels a-d),Dist. V2 (Phase-1 distillation checkpoints, epochs 10-100),fig:learning_curves (Fig. 3) / tab:epoch_metrics (Appendix F),teacher-decoded-space,experiments/distillation_learning_curve.py (content now lives in experiments/v2_learning_curve_complete.csv -- see results/README.md filename-mismatch note),"L81-87 tc=codec.decode(teacher heatmap) (SAME as V2-100/FT150 eval scripts); L93 dist=sc-tc; SAMPLES=200 (L37, matches Appendix F caption '200-sample subset'). Fig.3 tikz coordinates (main.tex L532-536,559-563,584-588,609-613) match this CSV's PCK/AUC/MPJPE columns near-exactly but its MSE column diverges from BOTH the CSV and the Appendix F table -- 3-way mismatch documented in results/fig3_pck_mse_by_epoch.csv",2026-06-18 20:46 (script) / 2026-04-27 19:07 (csv, older than the script itself -- see README)
PCK@0.2/MPJPE/MSE/AUC (exists but NOT plotted in Fig.3, which is Distillation-only),Direct Sup. (all checkpoints ep.10-100),n/a - not referenced by Fig.3 or App. F,GT-space,experiments/directsup_learning_curve.py,"L57 print('Reference: Raw GT annotations'); L82-83 gt_raw=batch['data_samples'][0].gt_instances.keypoints[0] -> direct_sup_learning_curve.csv",2026-04-27 01:38
ROOT-CAUSE (discovered post-delivery 2026-08-07),ALL models evaluated "vs GT" via gt_instances.keypoints without pack_transformed=True,"affects: results_direct_sup_GT.txt, experiments/results_v2_ep100_GT.txt, results_distilled_v2_ft_epoch_150_gt.txt, direct_sup_learning_curve.csv, mediapipe_gt_corrected.txt, mediapipe_gt_full2727.txt, mediapipe_vs_blazehand_results.txt, detection_breakdown.csv","gt_instances.keypoints is UN-WARPED ORIGINAL-IMAGE-SPACE, not 256x256 crop space -- confirmed by reading mmpose/datasets/transforms/topdown_transforms.py TopdownAffine.transform() directly (installed package, not paper-side code): it writes the warped keypoints to results['transformed_keypoints'] and never reassigns results['keypoints']. mmpose/datasets/transforms/formatting.py PackPoseInputs.instance_mapping_table maps gt_instances.keypoints straight from the untouched results['keypoints']; only PackPoseInputs(pack_transformed=True) additionally exposes results['transformed_keypoints'] as gt_instances.transformed_keypoints. Every eval script in this repo calls plain PackPoseInputs() (no pack_transformed) and reads gt_instances.keypoints[0] as 'GT'. Measured mean per-sample L2 gap between the two fields on 50 RHD test samples: 69.7px (range 28-150px).",mmpose/datasets/transforms/topdown_transforms.py + formatting.py (installed .venv package),"TopdownAffine.transform(): 'results[""transformed_keypoints""] = transformed_keypoints' with no corresponding reassignment of results['keypoints']; PackPoseInputs.instance_mapping_table: keypoints='keypoints' (maps from the untouched field)",installed mmpose package version bundled in .venv (not repo-dated); measurement taken 2026-08-07
ROOT-CAUSE -- training-time instance (not just eval-time),Direct Sup. (ep.25),"n/a -- this is a TRAINING bug, corrupts every Direct Sup. checkpoint, not just its eval","Direct Supervision was TRAINED against gt_instances.keypoints (original-image-space) while its own output is scaled as a 256-crop-space prediction (student_coords = pred_landmarks*256) -- an internally inconsistent training objective. Comment at L101-102 explicitly (and incorrectly) asserts the field is 'Already transformed to 256x256 space by the pipeline'.",directsup_baseline.py,"L101-102 comment (false claim); L105 kps=ds.gt_instances.keypoints; L108-110 gt_targets=torch.from_numpy(np.stack(gt_list))...clamp(0,255); L117 loss=wing_loss(student_coords, gt_targets)",2026-06-22 13:20
ROOT-CAUSE -- NOT affected (control case),"Dist. V2-100 / FT V2-150 (distillation training)",n/a -- confirms distillation training was never exposed to this bug,"distillation_v2.py / distillation_finetune.py never read gt_instances.keypoints for their training target at all -- the target is the teacher's own MSRAHeatmap.decode() output, already correctly in 256-crop space, entirely independent of the PackPoseInputs/TopdownAffine GT-packing path.",distillation_v2.py / distillation_finetune.py,"grep for 'gt_instances.keypoints' and 'transformed_keypoints' in both files returns zero matches -- training target is teacher-heatmap-decode based, not dataset-annotation based",2026-06-18 20:46 (distillation_v2.py) / (distillation_finetune.py mtime not captured this pass)
ROOT-CAUSE -- corrected re-run,"Direct Sup. (ep.25) / Dist. V2-100 / FT V2-150",results/table_viii_both_spaces.csv + per_joint_winloss_gt_space.csv (this audit package),"TRUE GT-space (PackPoseInputs(pack_transformed=True), gt_instances.transformed_keypoints), full 2727-sample RHD test set: Direct Sup PCK=0.4248/AUC=0.5377/MPJPE=59.87px; Dist.V2-100 PCK=0.8190/AUC=0.7670/MPJPE=30.35px; FT V2-150 PCK=0.8188/AUC=0.7686/MPJPE=30.14px. FT V2-150 beats Direct Sup on 21/21 joints in this corrected space (previously reported as a 21/21 reversal in Direct Sup's favor -- that was the bug).",scripts/rerun_dual_space_eval.py (fixed version),"L126-132 pipeline uses PackPoseInputs(pack_transformed=True) with explanatory comment; L161 gt_raw=batch['data_samples'][0].gt_instances.transformed_keypoints[0]",2026-08-07 (this audit; fix applied to the script mid-session, attributed to user/linter edit per system note)
